Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Geesamtindex,Latitude,Longitude
7050504,Imbrosweg,4.57,13.73,27.74,mittel,52.4434428,13.3988189
7050505,Hundsteinweg,3.10,9.75,26.33,mittel,52.4342711,13.3897945
7050506,Birnhornweg,1.18,4.24,12.31,mittel,52.4230714,13.3890164
7060601,Marienfelder Allee Nordwest,5.93,20.25,44.60,niedrig,0,0
7060602,Kirchstraße,1.57,4.55,8.96,mittel,52.4223607,13.3749383
7060603,Marienfelde Nordost,3.97,14.19,40.20,mittel,0,0
7060604,Marienfelde Süd,5.13,17.17,38.10,mittel,0,0
7070701,Kettinger Straße/Schillerstraße,2.47,6.98,17.09,mittel,0,0
7070702,Alt-Lichtenrade/Töpchiner Weg,2.37,8.54,18.21,mittel,52.3988967,13.4100527
7070703,John-Locke-Straße,5.25,14.27,31.92,mittel,52.3879582,13.4014624
7070704,Nahariyastraße,8.08,26.28,59.20,sehr niedrig,52.3908105,13.4201514
7070705,Franziusweg/Rohrbachstraße,1.42,4.41,8.20,hoch,0,0
7070706,Horstwalder Straße/Paplitzer Straße,3.27,8.97,23.37,mittel,0,0
7070707,Wittelsbacherstraße,1.28,5.54,19.04,mittel,52.4943391,13.3151466
8010115,Hasenheide,3.16,8.75,13.28,mittel,52.487085,13.4221114
8010116,Wissmannstraße,8.21,22.83,47.76,sehr niedrig,52.485953,13.4231575
8010117,Schillerpromenade,6.50,18.57,41.06,mittel,52.475498,13.4223765
8010118,Silbersteinstraße,8.25,26.92,61.85,sehr niedrig,52.465996,13.428241
8010211,Flughafenstraße,6.36,19.86,46.85,niedrig,52.4806023,13.423684
8010212,Rollberg,8.99,31.32,57.24,sehr niedrig,52.5982817,13.3996407
8010213,Körnerpark,6.80,21.85,50.95,niedrig,52.4713168,13.437911639101404
8010214,Glasower Straße,8.78,27.38,59.81,sehr niedrig,52.4648788,13.4411042
8010301,Reuterkiez,4.73,15.32,32.69,mittel,52.4891599,13.431454
8010302,Bouchéstraße,6.09,19.53,47.86,niedrig,52.4909803,13.4496839
8010303,Donaustraße,6.25,23.18,55.94,niedrig,52.482571,13.4352375
8010404,Rixdorf,6.42,20.61,45.03,niedrig,52.4740949,13.4456092
8010405,Hertzbergplatz,5.78,17.48,41.67,mittel,52.4776072,13.44950035075888
8010406,Treptower Straße Nord,9.63,31.78,69.51,sehr niedrig,0,0
8010407,Gewerbegebiet Ederstraße,7.12,14.14,47.83,niedrig,0,0
8010508,Weiße Siedlung,10.62,38.81,66.94,sehr niedrig,52.4731845,13.4658989
8010509,Schulenburgpark,13.18,41.86,76.29,sehr niedrig,52.4676223,13.470647104252963
8010510,Gewerbegebiet Köllnische Heide,10.03,23.75,77.19,sehr niedrig,0,0
8020619,Buschkrugallee Nord,7.80,23.94,46.87,sehr niedrig,0,0
8020620,Tempelhofer Weg,7.07,20.81,49.10,niedrig,52.4602905,13.4183635
8020621,Mohriner Allee Nord,0.87,2.47,6.17,hoch,0,0
8020622,Parchimer Allee,4.46,12.81,29.61,mittel,52.4447743,13.4495999
8020623,Ortolanweg,5.28,16.24,46.03,mittel,52.4426707,13.4655233
8020624,Britzer Garten,3.80,8.44,9.88,mittel,52.43335765,13.41687681927067
8020625,Handwerker-Siedlung,3.52,10.94,20.77,mittel,0,0
8020726,Buckow West,3.03,8.12,20.00,mittel,0,0
8020727,Buckow Mitte,4.08,11.15,29.37,mittel,0,0
8020728,Buckow Ost,5.67,19.30,47.73,niedrig,0,0
8030829,Gropiusstadt Nord,7.41,24.16,56.07,sehr niedrig,0,0
8030830,Gropiusstadt Süd,5.59,16.06,45.99,mittel,0,0
8030831,Gropiusstadt Ost,7.37,21.77,46.73,niedrig,0,0
8040932,Goldhähnchenweg,7.78,17.54,47.22,niedrig,52.4423118,13.4588088
8040933,Vogelviertel Süd,2.71,9.09,26.07,mittel,0,0
8040934,Vogelviertel Nord,3.25,10.08,23.80,mittel,0,0
8041035,Blumenviertel,2.32,5.27,14.09,mittel,52.534166,13.4581585
8041036,Zittauer Straße,1.93,4.53,11.65,mittel,52.4190105,13.4718934
8041037,Alt-Rudow,3.72,10.66,29.47,mittel,52.416704,13.4968395
8041038,Waßmannsdorfer Chaussee,1.75,4.59,10.08,mittel,52.4152697,13.4955443
8041039,Frauenviertel,2.24,8.99,18.70,mittel,52.402485049999996,13.506511499205477
8041040,Waltersdorfer Chaussee Ost,3.09,8.68,21.71,mittel,0,0
9010101,Elsenstraße,4.40,10.35,17.60,mittel,52.4937917,13.4606272
9010201,Am Treptower Park Süd,2.20,5.78,9.20,mittel,0,0
9010202,Köpenicker Landstraße,4.23,10.29,31.69,mittel,52.4691817,13.4910853
9010301,Baumschulenstraße,3.56,8.16,19.74,mittel,52.4689767,13.4911583
9010302,Späthsfelde,0.90,2.97,7.28,hoch,52.4572678,13.4682365
9010401,Johannisthal West,3.22,6.92,20.69,mittel,0,0
9010402,Johannisthal Ost,2.85,7.90,16.27,mittel,0,0
9020501,Oberschöneweide West,6.86,18.19,43.32,niedrig,0,0
9020502,Oberschöneweide Ost,5.46,14.80,31.84,mittel,0,0
9020601,Schnellerstraße,4.80,14.97,38.00,mittel,52.4541485,13.518954
9020602,Oberspree,3.91,8.31,22.46,mittel,52.4524146,13.538075
9020701,Adlershof West,0.95,2.50,6.74,hoch,0,0
9020702,Adlershof Ost,3.87,9.87,23.79,mittel,0,0
9020801,Spindlersfeld,3.42,8.85,16.82,mittel,52.4468976,13.5615738
9020802,Köllnische Vorstadt,5.60,17.79,41.86,mittel,52.44012455,13.565596552401203
9030901,Dorf Altglienicke,1.60,3.72,8.52,hoch,0,0
9030902,Wohngebiet II,7.25,22.67,49.95,niedrig,52.523481149999995,13.510422287489602
9030903,Kölner Viertel,3.93,12.35,25.70,mittel,52.403750349999996,13.547006644266705
9031001,Bohnsdorf,2.17,5.38,12.57,mittel,52.4022426,13.5706649
9031101,Grünau,2.00,4.96,10.78,mittel,52.4154272,13.5805633
9031201,Karolinenhof,0.29,1.31,1.73,hoch,52.3918603,13.6350687
9031202,Schmöckwitz/Rauchfangswerder,0.81,3.76,10.31,hoch,52.3689744,13.651025653285325
9041301,Kietzer Feld/Nachtheide,3.03,6.84,17.36,mittel,0,0
9041302,Wendenschloß,0.45,1.79,2.91,hoch,52.42142405,13.590258138677132
9041401,Allende I,2.68,6.68,20.39,mittel,52.44418545,13.590632196611466
9041402,Allende II,2.56,6.23,16.07,mittel,52.439869200000004,13.602295584784876
