Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Latitude,Longitude
1011101,Stülerstraße,6.38,7.44,20.11,mittel,52.5074059,13.3482254
1011103,Lützowstraße,9.31,18.51,40.28,mittel,52.5055283,13.3537182
1011104,Körnerstraße,9.77,24.61,63.7,niedrig,52.5015532,13.3672204
1011105,Nördlicher Landwehrkanal,2.33,4.02,8.99,hoch,0,0
1011201,Wilhelmstraße,6.42,8.81,30.73,mittel,52.5123969,13.3829198
1011202,Unter den Linden Nord,3.94,0.42,0.0,hoch,0,0
1011203,Unter den Linden Süd,3.73,3.16,13.64,hoch,0,0
1011204,Leipziger Straße,4.68,7.35,24.3,mittel,52.509845,13.3815206
1011301,Charitéviertel,2.98,3.79,7.68,hoch,0,0
1011302,Oranienburger Straße,5.33,6.91,14.28,mittel,52.5252246,13.3930145
1011303,Alexanderplatzviertel,7.0,9.36,24.5,mittel,0,0
1011304,Karl-Marx-Allee,7.56,12.39,40.72,mittel,52.5220305,13.4167742
1011305,Heine-Viertel West,6.29,7.94,32.73,mittel,0,0
1011306,Heine-Viertel Ost,7.14,8.34,25.67,mittel,0,0
1011401,Invalidenstraße,4.98,5.44,9.33,mittel,52.5294381,13.3792191
1011402,Arkonaplatz,4.64,4.42,6.54,hoch,52.5378498,13.4029341
1022101,Huttenkiez,12.63,23.11,74.01,niedrig,0,0
1022102,Beusselkiez,13.56,26.31,63.11,sehr niedrig,0,0
1022104,Emdener Straße,10.09,19.71,50.28,mittel,52.5300319,13.3340575
1022105,Zwinglistraße,11.48,25.58,67.79,niedrig,52.5254825,13.3341492
1022106,Elberfelder Straße,7.13,11.84,24.6,mittel,52.5213311,13.3358695
1022201,Stephankiez,10.29,19.76,54.25,mittel,0,0
1022202,Heidestraße,12.76,34.65,69.8,sehr niedrig,52.4798474,13.6119102
1022203,Lübecker Straße,12.61,26.17,56.63,niedrig,52.5282755,13.6349799
1022204,Thomasiusstraße,7.95,11.87,25.57,mittel,52.521699,13.3499342
1022205,Zillesiedlung,10.7,27.82,56.1,niedrig,52.52541665,13.359607130853423
1022206,Lüneburger Straße,8.34,12.5,30.83,mittel,52.5198328,13.3564326
1022207,Hansaviertel,6.52,9.63,27.35,mittel,52.5191234,13.3418725
1033101,Soldiner Straße,15.44,31.33,71.52,sehr niedrig,52.5607834,13.3787332
1033102,Gesundbrunnen,13.3,28.24,69.26,sehr niedrig,52.5491748,13.3900758
1033201,Brunnenstraße,13.69,33.24,68.94,sehr niedrig,52.5299026,13.4011672
1033202,Humboldthain Süd,12.15,24.31,60.0,niedrig,0,0
1033203,Humboldthain Nordwest,14.88,32.42,73.21,sehr niedrig,0,0
1044101,Rehberge,11.9,21.24,56.99,niedrig,52.5566893,13.3409843
1044102,Schillerpark,12.2,17.45,53.79,mittel,52.5584433,13.347496701791723
1044103,Westliche Müllerstraße,11.92,20.21,56.12,niedrig,0,0
1044201,Reinickendorfer Straße,15.08,32.11,75.35,sehr niedrig,52.5400429,13.3702888
1044202,Sparrplatz,10.95,22.26,62.8,niedrig,52.541870900000006,13.360528411881038
1044203,Leopoldplatz,13.89,27.26,69.34,sehr niedrig,52.5463833,13.3591672
2010101,Askanischer Platz,12.81,29.26,65.14,sehr niedrig,52.504169950000005,13.381976317642579
2010102,Mehringplatz,14.56,34.99,70.57,sehr niedrig,52.49890495,13.391776599059298
2010103,Moritzplatz,17.85,37.57,76.3,sehr niedrig,52.5036623,13.4107479
2010104,Wassertorplatz,15.58,37.31,72.07,sehr niedrig,52.4985187,13.4128525
2020202,Rathaus Yorckstraße,8.23,13.35,29.45,mittel,52.493863950000005,13.386396109576971
2020203,Viktoriapark,7.77,12.0,26.66,mittel,52.48746645,13.380812282292329
2020204,Urbanstraße,8.04,12.8,27.33,mittel,52.4880584,13.4249037
2020205,Chamissokiez,7.74,12.66,26.26,mittel,0,0
2020206,Graefekiez,9.43,17.84,41.14,mittel,52.4899652,13.411789031904522
2030301,Oranienplatz,13.23,29.3,61.16,sehr niedrig,52.5022391,13.41571442375585
2030302,Lausitzer Platz,11.84,23.97,51.66,niedrig,52.50018255,13.430793046014493
2030401,Reichenberger Straße,9.8,18.7,44.1,mittel,52.4932039,13.4382843
2030402,Wrangelkiez,9.63,18.13,41.78,mittel,52.4994382,13.4395831
2040501,Barnimkiez,9.41,13.73,47.76,mittel,52.5256199,13.4250661
2040502,Friedenstraße,7.64,10.35,29.96,mittel,52.5216712,13.4358831
2040503,Richard-Sorge-Viertel,6.1,7.14,15.33,mittel,0,0
2040701,Andreasviertel,7.82,12.92,45.22,mittel,0,0
2040702,Weberwiese,6.73,7.48,14.52,mittel,52.5167465,13.4447135
2040703,Wriezener Bahnhof/Entwicklungsgebiet,8.62,19.63,63.64,mittel,0,0
2050601,Hausburgviertel,8.5,10.44,25.63,mittel,52.5246139,13.4530257
2050602,Samariterviertel,8.07,10.39,22.9,mittel,52.5172826,13.4655019
2050801,Traveplatz,8.33,12.26,31.75,mittel,52.5108664,13.470170096254137
2050802,Boxhagener Platz,7.0,8.19,17.0,mittel,52.5108076,13.459702997395421
2050803,Stralauer Kiez,8.05,11.71,30.86,mittel,0,0
2050804,Stralauer Halbinsel,3.37,3.58,5.23,hoch,0,0
3010101,Bucher Forst,9.58,9.55,20.45,mittel,52.64417125,13.48306503062641
3010102,Buch,11.61,15.17,48.13,mittel,52.6366724,13.4999292
3020203,Blankenfelde,7.33,5.11,11.39,mittel,52.6186272,13.3884468
3020209,Niederschönhausen,5.52,5.54,9.43,mittel,52.5858062,13.401397
3020210,Herthaplatz,5.56,6.32,11.42,mittel,52.5846986,13.4095706
3020307,Buchholz,5.68,7.13,16.45,mittel,52.6105131,13.4281104
3030405,Karow Nord,6.37,8.57,20.38,mittel,52.6169054,13.4900721
3030406,Alt-Karow,3.3,2.39,4.66,hoch,52.6157138,13.4856769
3030711,Blankenburg,4.07,2.42,5.1,hoch,52.593211,13.4541825
3030715,Heinersdorf,4.65,3.87,9.97,mittel,52.5728248,13.4370149
3030716,Märchenland,3.04,2.65,4.26,hoch,52.4885,13.4542465
3040508,Rosenthal,4.61,5.75,12.67,mittel,52.5983189,13.3755194
3040512,Wilhelmsruh,5.24,4.96,10.84,mittel,52.5880115,13.3622059
3040513,Schönholz,4.82,3.95,5.6,mittel,52.5715004,13.3809904
