Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Latitude,Longitude
3040614,Pankow Zentrum,7.12,8.01,15.79,mittel,0,0
3040818,Pankow Süd,7.66,9.0,22.09,mittel,52.55739095,13.460076525798193
3050919,Gustav-Adolf-Straße,8.64,8.95,21.88,mittel,52.5599502,13.4489828
3050920,Weißer See,8.22,7.62,17.64,mittel,52.55407615,13.46342608088942
3050923,Weißenseer Spitze,9.62,11.05,22.42,mittel,0,0
3050924,Behaimstraße,11.18,11.52,22.61,mittel,52.5491634,13.4455249
3050925,Komponistenviertel Weißensee,7.75,9.31,17.36,mittel,52.5483207,13.4576533
3051017,Rennbahnstraße,7.54,8.74,23.81,mittel,52.56098,13.4571644
3051021,Buschallee,10.46,10.48,33.93,mittel,52.5535902,13.4704385
3051022,Hansastraße,8.39,10.78,37.66,mittel,52.5616649,13.5003885
3061126,Arnimplatz,7.65,7.75,15.42,mittel,52.5517551,13.409449419572233
3061131,Falkplatz,6.44,6.07,8.64,mittel,52.5458619,13.403701893218535
3061227,Humannplatz,6.58,7.04,13.77,mittel,52.549074000000005,13.422295698381111
3061228,Erich-Weinert-Straße,9.61,10.02,30.16,mittel,52.5482773,13.4273411
3061332,Helmholtzplatz,6.83,7.25,12.13,mittel,52.5430211,13.419032624098314
3061429,Greifswalder Straße,10.8,10.66,40.93,mittel,52.5402462,13.4389887
3061430,Volkspark Prenzlauer Berg,13.73,11.72,31.84,mittel,52.53578855,13.463217379890311
3061434,Anton-Saefkow-Park,8.47,8.64,16.76,mittel,52.537401599999995,13.44011188411454
3061435,Conrad-Blenkle-Straße,11.26,12.36,37.21,mittel,52.5314053,13.4463378
3061441,Eldenaer Straße,2.24,1.47,1.28,hoch,52.520388,13.4595907
3071536,Teutoburger Platz,5.64,5.84,9.47,mittel,52.532075500000005,13.408906124254809
3071537,Kollwitzplatz,5.72,5.43,7.55,mittel,52.536053800000005,13.41704224983837
3071633,Thälmannpark,8.92,14.2,28.91,mittel,0,0
3071638,Winsstraße,6.21,6.21,10.34,mittel,52.5374188,13.4286022
3071639,Bötzowstraße,6.16,6.2,8.31,mittel,52.5341681,13.4376045
4010101,Jungfernheide,13.24,20.99,57.45,niedrig,52.5304034,13.299269
4010102,Plötzensee,5.42,5.18,36.96,mittel,52.54425365,13.329969221902985
4010103,Paul-Hertz-Siedlung,12.65,24.08,58.16,niedrig,0,0
4020205,Siedlung Ruhleben,2.98,2.74,7.24,hoch,52.5227766,13.239081516621066
4020206,Angerburger Allee,5.49,5.73,18.25,mittel,52.5119311,13.2202055
4020207,Flatowallee,3.8,3.02,8.61,hoch,52.509514,13.2412416
4020208,Kranzallee,3.72,2.53,2.43,hoch,52.5054755,13.2341089
4020209,Eichkamp,1.24,0.8,1.34,hoch,52.4986377,13.2702326
4020310,Park Ruhwald,5.13,4.44,29.63,mittel,52.5224279,13.2550517
4020311,Reichsstraße,5.1,5.58,12.4,mittel,52.5149089,13.2629054
4020312,Branitzer Platz,4.89,5.19,7.44,mittel,52.516136700000004,13.271090730521255
4020313,Königin-Elisabeth-Straße,6.51,9.06,23.78,mittel,52.5115614,13.2814719
4030415,Schloßgarten,10.92,19.26,53.67,mittel,52.52446755,13.293333074897546
4030416,Klausenerplatz,8.71,16.61,30.62,mittel,52.5192757,13.2923759
4030417,Schloßstraße,6.37,10.24,22.58,mittel,52.461481,13.3250946
4030518,Tegeler Weg,8.67,14.26,35.91,mittel,52.5253425,13.2975643
4030519,Kaiserin-Augusta-Allee,8.76,15.3,44.71,mittel,52.5257887,13.3162593
4030620,Alt-Lietzow,7.45,12.66,33.13,mittel,52.5180587,13.3137352
4030621,Spreestadt,8.92,16.62,43.77,mittel,0,0
4030622,Richard-Wagner-Straße,8.36,13.78,33.08,mittel,52.5134827,13.3069383
4030623,Ernst-Reuter-Platz,8.27,15.46,37.95,mittel,52.5118853,13.3221613
4030724,Lietzensee,6.92,8.5,17.89,mittel,52.50642345,13.288045461967833
4030725,Amtsgerichtsplatz,5.83,7.95,17.45,mittel,52.5065043,13.295403761000003
4030726,Droysenstraße,6.51,8.97,20.25,mittel,52.5017965,13.3005886
4030827,Karl-August-Platz,8.03,13.51,35.76,mittel,52.508347549999996,13.310969968382535
4030828,Savignyplatz,5.43,8.28,20.34,mittel,52.5051746,13.3190659
4030929,Hindemithplatz,5.55,7.49,11.48,mittel,52.5033306,13.3079856
4030930,George-Grosz-Platz,4.92,6.05,13.61,mittel,52.50163005,13.317235867892222
4030931,Breitscheidplatz,5.8,8.19,15.22,mittel,52.50496755,13.335294018768128
4031032,Halensee,6.53,8.52,20.39,mittel,52.4940267,13.280318535075601
4041134,Bismarckallee,4.42,6.16,10.43,mittel,52.4904484,13.2824169
4041135,Hundekehle,2.13,2.78,5.63,hoch,52.47224035,13.241810802514282
4041136,Hagenplatz,3.25,2.51,4.14,hoch,52.48347435,13.26648282971464
4041137,Flinsberger Platz,6.23,8.13,17.99,mittel,52.4843411,13.2916567
4041238,Kissinger Straße,5.45,7.57,18.14,mittel,52.4794688,13.2868173
4041240,Messelpark,2.32,1.29,2.31,hoch,52.47120565,13.283290579648828
4041241,Breite Straße,4.15,4.78,6.68,hoch,52.5150501,13.4044093
4041342,Schlangenbader Straße,7.08,10.39,26.2,mittel,52.4703116,13.3079766
4041343,Binger Straße,5.27,7.75,12.26,mittel,52.4785787,13.3093099
4041344,Rüdesheimer Platz,4.64,7.25,15.6,mittel,52.4732464,13.314415
4051445,Eisenzahnstraße,7.68,10.4,24.49,mittel,52.491184,13.304664
4051446,Preußenpark,5.58,7.31,15.52,mittel,52.49249865,13.31312112785669
4051447,Ludwigkirchplatz,6.94,9.02,18.98,mittel,52.4975581,13.32267048960177
4051448,Schaperstraße,6.53,8.58,21.0,mittel,52.4992283,13.3328504
4051549,Rathaus Wilmersdorf,7.7,9.97,21.81,mittel,52.4896644,13.313963665510869
4051550,Leon-Jessel-Platz,6.71,10.17,25.04,mittel,52.4893871,13.319462159695625
4051551,Brabanter Platz,7.52,12.03,29.32,mittel,52.4818517,13.31649000631424
4051652,Nikolsburger Platz,5.27,7.79,14.48,mittel,52.4934355,13.3284191
4051653,Prager Platz,6.61,8.36,14.84,mittel,52.49314335,13.333019065383901
4051654,Wilhelmsaue,6.28,8.37,16.1,mittel,52.48542625,13.32245782817187
4051655,Babelsberger Straße,7.08,11.16,25.23,mittel,52.4878474,13.3351556
4051656,Hildegardstraße,5.87,6.84,12.57,mittel,52.4817891,13.3262748
5010101,Hakenfelde Nord,7.76,11.55,31.27,mittel,0,0
5010102,Goltzstraße,10.25,12.52,44.07,mittel,52.5622018,13.2136186
5010103,Amorbacher Weg,7.03,8.0,17.78,mittel,52.5575122,13.2070808
5010204,Griesingerstraße,14.57,26.03,64.71,sehr niedrig,52.5656034,13.1555705
5010205,An der Tränke,2.98,3.71,7.58,hoch,52.551654,13.147198
5010206,Gütersloher Weg,13.39,18.91,50.7,niedrig,52.5479306,13.171654
5010207,Darbystraße,14.88,28.1,61.53,sehr niedrig,52.5525049,13.1725366
5010208,Germersheimer Platz,14.38,21.41,59.3,niedrig,52.544541800000005,13.187102137884068
5010209,An der Kappe,6.26,7.51,20.33,mittel,52.5427177,13.1692474
5010310,Eckschanze,13.3,19.08,49.79,niedrig,52.5517741,13.1978918
5010311,Eiswerder,14.49,24.08,60.66,sehr niedrig,52.548986,13.219156131881778
5010312,Kurstraße,15.84,27.11,66.33,sehr niedrig,52.5488113,13.2083949
5010313,Ackerstraße,12.85,20.79,52.78,niedrig,52.5384789,13.3841899
5010314,Carl-Schurz-Straße,12.77,19.22,54.21,niedrig,52.5369404,13.2028448
5010339,Freiheit,10.33,9.18,28.95,mittel,52.4474283,13.5768876
5020415,Isenburger Weg,3.03,2.51,5.84,hoch,52.54475,13.1361566
5020416,Am Heideberg,6.49,7.3,22.56,mittel,52.5434989,13.1455742
5020417,Staakener Straße,5.18,4.4,12.08,mittel,52.5364014,13.1907598
5020418,Spandauer Straße,8.56,9.93,20.96,mittel,52.5203464,13.4045626
5020419,Magistratsweg,13.12,19.3,58.96,niedrig,52.5202435,13.162583
5020420,Werkstraße,5.4,4.61,10.42,mittel,52.4820503,13.8333917
5020521,Döberitzer Weg,4.24,5.26,9.58,hoch,52.5271913,13.1291769
5020522,Pillnitzer Weg,15.06,27.51,63.75,sehr niedrig,52.5224715,13.1562682
5020523,Maulbeerallee,18.54,37.6,78.28,sehr niedrig,52.5240088,13.1677663
5020524,Weinmeisterhornweg,5.51,5.44,13.51,mittel,52.5106064,13.1731369
5020625,Borkumer Straße,10.2,15.07,47.18,mittel,52.5325392,13.194984
5020626,Adamstraße,11.8,17.02,44.14,mittel,52.521045,13.189567
5020627,Tiefwerder,10.6,20.62,50.09,mittel,52.52058065,13.210121586404107
5020628,Graetschelsteig,9.76,12.83,43.1,mittel,52.517429,13.1874442
5020629,Börnicker Straße,4.22,2.93,7.11,hoch,52.5157303,13.189457
5030730,Zitadellenweg,6.57,12.65,27.43,mittel,52.5376908,13.217194
5030731,Gartenfelder Straße,13.05,19.54,55.01,niedrig,52.5514142,13.2489005
5030832,Rohrdamm,10.57,16.18,42.0,mittel,52.5369951,13.262306
5030833,Motardstraße,3.38,4.84,6.67,hoch,52.5338934,13.2663045
5040934,Alt-Gatow,2.61,2.46,4.75,hoch,52.4840831,13.1832463
5040935,Groß-Glienicker Weg,9.86,9.61,5.26,mittel,52.4794571,13.1419037
5040936,Jägerallee,2.84,2.54,5.19,hoch,52.4645139,13.122436
5040937,Kladower Damm,2.33,1.86,4.44,hoch,52.4787843,13.1791156
5040938,Kafkastraße,2.88,1.72,6.65,hoch,52.4468399,13.1277401
6010101,Fichtenberg,3.95,3.27,7.14,hoch,52.4582283,13.3100698
6010102,Schloßstraße,5.47,8.49,22.58,mittel,52.461481,13.3250946
6010103,Markelstraße,5.95,7.36,19.79,mittel,52.4632632,13.3269254
6010204,Munsterdamm,7.63,11.19,28.34,mittel,52.4574062,13.3487301
6010205,Südende,7.12,8.97,23.6,mittel,52.448279,13.3537492
6010206,Stadtpark,6.61,8.3,21.79,mittel,52.4831773,13.341972
6010207,Mittelstraße,6.63,9.09,24.43,mittel,52.5361912,13.4812414
6010208,Bergstraße,7.29,9.69,22.94,mittel,52.5719786,13.5772602
6010209,Feuerbachstraße,6.9,8.96,25.11,mittel,52.463673,13.3326994
6010210,Bismarckstraße,8.09,10.87,27.22,mittel,52.5115148,13.3052393
6020301,Alt-Lankwitz,6.82,8.89,20.59,mittel,52.4387617,13.3550521
6020302,Komponistenviertel Lankwitz,5.29,5.53,15.62,mittel,52.4375558,13.334377
6020303,Lankwitz Kirche,8.1,12.41,35.4,mittel,52.4358148,13.3468002
6020304,Kaiser-Wilhelm-Straße,8.18,11.24,29.56,mittel,52.4433617,13.3538619
6020305,Gemeindepark Lankwitz,8.7,13.52,39.15,mittel,52.43134175,13.350080584354387
6020306,Lankwitz Süd,4.45,5.82,13.96,mittel,52.42317665,13.362284993251034
6020407,Thermometersiedlung,11.54,20.91,65.14,niedrig,52.41431735,13.314622949983283
6020408,Lichterfelde Süd,7.09,9.49,29.94,mittel,52.4099669,13.3085527
6020409,Königsberger Straße,6.12,6.17,15.74,mittel,52.5149483,13.4436121
6020410,Oberhofer Platz,4.12,4.03,6.81,hoch,52.424791150000004,13.328173774065391
6020411,Schütte-Lanz-Straße,4.94,6.24,16.97,mittel,52.412198,13.3284229
6030501,Berlepschstraße,3.74,4.15,11.11,hoch,52.4209438,13.226431
6030502,Zehlendorf Süd,6.32,9.87,30.25,mittel,52.4255052,13.240168053968436
6030503,Zehlendorf Mitte,4.77,6.51,14.79,mittel,52.4349053,13.2599256
6030504,Teltower Damm,2.98,2.89,6.95,hoch,52.4127572,13.2668011
6030605,Botanischer Garten,5.34,5.87,13.17,mittel,52.45439665,13.304122526030515
6030606,Hindenburgdamm,7.31,9.36,23.64,mittel,52.4532662,13.3156716
6030607,Goerzwerke,3.26,3.66,11.14,hoch,0,0
6030608,Schweizer Viertel,3.44,2.07,2.39,hoch,52.4240284,13.2964923
6030609,Augustaplatz,5.11,5.5,12.67,mittel,52.44280725,13.307452030569994
6030610,Lichterfelde West,3.4,3.19,5.95,hoch,52.4433056,13.2935862
6040701,Wannsee,2.88,2.5,4.5,hoch,52.4211482,13.1589374
6040702,Düppel,2.81,3.79,5.52,hoch,52.4254973,13.233305907223176
6040703,Nikolassee,2.77,2.73,4.67,hoch,52.4262495,13.1981446
6040804,Krumme Lanke,2.54,1.94,3.37,hoch,52.4434481,13.2413921
6040805,Fischerhüttenstraße,3.04,3.17,5.29,hoch,52.442578,13.2404467
6040806,Fischtal,3.11,2.77,4.54,hoch,52.4484762,13.2595279
6040807,Zehlendorf Eiche,3.93,4.6,7.25,hoch,52.4344013,13.2602488
6040808,Hüttenweg,2.66,2.84,4.98,hoch,52.4556436,13.266551
6040809,Thielallee,1.78,1.5,2.05,hoch,52.4531998,13.286119
6040810,Dahlem,1.88,1.0,1.25,hoch,52.4573805,13.2810976
7010101,Wittenbergplatz/Viktoria-Luise-Platz,7.11,10.33,21.9,mittel,0,0
7010102,Nollendorfplatz,9.39,21.15,52.7,mittel,52.4995972,13.3537297
7010103,Barbarossaplatz,6.63,10.41,21.84,mittel,52.4920953,13.349199950324744
7010104,Dennewitzplatz,11.31,24.35,57.26,niedrig,52.49618905,13.366174929565462
7020201,Bayerischer Platz,6.59,8.79,19.4,mittel,52.4885755,13.3405436
7020202,Volkspark (Rudolf-Wilde-Park),7.66,12.81,33.37,mittel,0,0
7020203,Kaiser-Wilhelm-Platz,8.8,15.33,34.15,mittel,52.486629199999996,13.357163698180905
7020204,Schöneberger Insel,8.13,12.97,34.3,mittel,52.485909,13.3611805
7030301,Friedenau,4.47,5.52,10.12,mittel,52.472075,13.3296424
7030302,Ceciliengärten,5.11,6.9,13.36,mittel,52.47420665,13.341860455373258
7030303,Grazer Platz,8.93,16.48,38.98,mittel,52.467315799999994,13.34681556130397
7040401,Neu-Tempelhof,7.66,11.71,25.5,mittel,52.476357,13.3813229
7040402,Lindenhofsiedlung,11.37,13.56,44.57,mittel,0,0
7040403,Manteuffelstraße,8.98,14.42,40.05,mittel,52.4615371,13.3769024
7040404,Marienhöhe,7.86,11.93,32.9,mittel,52.4519197,13.3661522
7040405,Rathaus Tempelhof,9.14,15.8,46.8,mittel,52.46262245,13.386260460798024
7040406,Germaniagarten,15.52,26.45,72.0,sehr niedrig,52.4627272,13.4146758
7050501,Rathausstraße,10.04,15.55,46.06,mittel,52.5185022,13.4074275
7050502,Fritz-Werner-Straße,9.89,12.11,34.77,mittel,52.4283231,13.3816013
7050503,Eisenacher Straße,8.91,12.35,35.89,mittel,52.4895529,13.3501694
7050504,Imbrosweg,8.44,14.21,36.6,mittel,52.4434428,13.3988189
7050505,Hundsteinweg,5.79,8.73,26.43,mittel,52.4343309,13.3902468
7050506,Birnhornweg,3.76,2.74,8.76,hoch,52.4230714,13.3890164
7060601,Marienfelder Allee Nordwest,8.7,14.43,33.72,mittel,0,0
7060602,Kirchstraße,4.5,4.73,8.47,hoch,52.4179438,13.3712216
7060603,Marienfelde Nordost,7.25,13.48,50.94,mittel,0,0
7060604,Marienfelde Süd,10.16,17.24,46.44,mittel,0,0
7070701,Kettinger Straße/Schillerstraße,5.25,6.2,17.53,mittel,0,0
7070702,Alt-Lichtenrade/Töpchiner Weg,5.55,7.32,18.0,mittel,52.3988967,13.4100527
7070703,John-Locke-Straße,10.73,15.8,45.21,mittel,52.3925978,13.4006694
7070704,Nahariyastraße,11.84,23.63,60.14,niedrig,52.3893513,13.4203558
7070705,Franziusweg/Rohrbachstraße,3.8,4.41,11.48,hoch,0,0
7070706,Horstwalder Straße/Paplitzer Straße,4.59,5.06,14.22,mittel,0,0
7070707,Wittelsbacherstraße,2.8,3.2,7.4,hoch,52.4943391,13.3151466
8010115,Hasenheide,5.62,11.6,23.89,mittel,52.4864404,13.423836
8010116,Wissmannstraße,13.85,27.0,56.74,niedrig,52.485953,13.4231575
8010117,Schillerpromenade,12.51,23.7,60.88,niedrig,52.4780914,13.4219833
8010118,Silbersteinstraße,13.69,33.16,75.73,sehr niedrig,52.465996,13.428241
8010211,Flughafenstraße,11.28,25.05,66.8,niedrig,52.4804778,13.4225751
8010212,Rollberg,13.82,36.33,72.48,sehr niedrig,52.5982817,13.3996407
8010213,Körnerpark,12.91,26.46,67.72,sehr niedrig,52.4713168,13.437911639101404
8010214,Glasower Straße,14.52,30.3,71.85,sehr niedrig,52.4642163,13.4350473
8010301,Reuterkiez,9.52,19.77,51.94,mittel,52.4891599,13.431454
8010302,Bouchéstraße,12.25,22.14,60.98,niedrig,52.4927682,13.4525052
8010303,Donaustraße,10.98,27.46,70.01,niedrig,52.485086,13.4302349
8010404,Rixdorf,11.89,25.76,64.53,niedrig,52.4740949,13.4456092
8010405,Hertzbergplatz,11.26,22.79,58.43,niedrig,52.4776072,13.44950035075888
8010406,Treptower Straße Nord,15.51,33.0,68.72,sehr niedrig,0,0
8010407,Gewerbegebiet Ederstraße,11.56,20.52,70.77,niedrig,0,0
8010508,Weiße Siedlung,16.55,41.9,76.55,sehr niedrig,52.4731845,13.4658989
8010509,Schulenburgpark,18.71,43.02,77.35,sehr niedrig,52.4676223,13.470647104252963
8010510,Gewerbegebiet Köllnische Heide,11.92,14.56,43.18,mittel,0,0
8020619,Buschkrugallee Nord,12.32,24.14,55.29,niedrig,0,0
8020620,Tempelhofer Weg,11.57,22.91,60.71,niedrig,52.4605204,13.4181162
8020621,Mohriner Allee Nord,2.17,2.02,3.81,hoch,0,0
8020622,Parchimer Allee,8.23,14.62,36.78,mittel,52.4447743,13.4495999
8020623,Ortolanweg,7.23,16.23,44.27,mittel,52.4391495,13.4700678
8020624,Britzer Garten,7.09,14.96,25.68,mittel,52.43335765,13.41687681927067
8020625,Handwerker-Siedlung,8.62,9.77,19.87,mittel,0,0
8020726,Buckow West,5.92,7.46,19.59,mittel,0,0
8020727,Buckow Mitte,6.3,10.68,32.45,mittel,0,0
8020728,Buckow Ost,9.14,17.06,47.24,mittel,0,0
8030829,Gropiusstadt Nord,11.78,24.82,65.98,niedrig,0,0
8030830,Gropiusstadt Süd,10.34,16.86,54.7,mittel,0,0
8030831,Gropiusstadt Ost,11.18,23.07,55.89,mittel,0,0
8040932,Goldhähnchenweg,7.21,14.18,45.16,mittel,52.5846041,13.4395719
8040933,Vogelviertel Süd,5.26,7.62,19.94,mittel,0,0
8040934,Vogelviertel Nord,5.81,9.07,22.73,mittel,0,0
8041035,Blumenviertel,4.17,4.04,10.04,hoch,52.534166,13.4581585
8041036,Zittauer Straße,3.29,3.99,10.49,hoch,52.4176022,13.4795819
8041037,Alt-Rudow,6.22,9.28,30.06,mittel,52.416704,13.4968395
8041038,Waßmannsdorfer Chaussee,3.87,4.49,13.09,hoch,52.4006004,13.4883016
8041039,Frauenviertel,6.79,14.73,35.16,mittel,52.402485049999996,13.506511499205477
8041040,Waltersdorfer Chaussee Ost,5.35,9.69,24.7,mittel,0,0
9010101,Elsenstraße,10.37,12.97,30.53,mittel,52.4915992,13.4575283
9010201,Am Treptower Park Süd,5.52,6.26,12.61,mittel,0,0
9010202,Köpenicker Landstraße,10.03,11.38,42.03,mittel,52.4779313,13.4783934
9010301,Baumschulenstraße,8.69,9.85,31.78,mittel,52.4694709,13.4917673
9010302,Späthsfelde,3.51,2.87,4.94,hoch,52.4572678,13.4682365
9010401,Johannisthal West,7.28,6.86,24.22,mittel,0,0
9010402,Johannisthal Ost,6.16,7.22,14.76,mittel,0,0
9020501,Oberschöneweide West,14.34,18.34,48.7,niedrig,0,0
9020502,Oberschöneweide Ost,10.33,14.36,36.46,mittel,0,0
9020601,Schnellerstraße,9.28,11.76,35.88,mittel,52.4547028,13.5157847
9020602,Oberspree,5.98,6.35,20.89,mittel,52.4524146,13.538075
9020702,Adlershof Ost,8.3,8.45,22.14,mittel,0,0
9020801,Spindlersfeld,6.55,7.99,17.19,mittel,52.4468976,13.5615738
9020802,Köllnische Vorstadt,12.65,19.3,55.12,niedrig,52.44012455,13.565596552401203
9030901,Dorf Altglienicke,3.93,3.19,8.71,hoch,0,0
9030902,Wohngebiet II,15.31,22.38,57.41,sehr niedrig,52.523481149999995,13.510422287489602
9030903,Kölner Viertel,6.2,10.33,21.98,mittel,52.403750349999996,13.547006644266705
9031001,Bohnsdorf,4.57,5.22,15.02,mittel,52.4022426,13.5706649
9031101,Grünau,5.37,3.7,9.93,mittel,52.4154272,13.5805633
9031201,Karolinenhof,3.82,1.03,0.96,hoch,52.3918603,13.6350687
9031202,Schmöckwitz/Rauchfangswerder,3.38,1.62,3.0,hoch,52.3689744,13.651025653285325
9041301,Kietzer Feld/Nachtheide,7.73,6.84,20.57,mittel,0,0
9041302,Wendenschloß,2.44,1.35,3.15,hoch,52.42142405,13.590258138677132
9041401,Allende I,5.55,6.76,21.38,mittel,52.44418545,13.590632196611466
9041402,Allende II,5.17,6.32,19.66,mittel,52.439869200000004,13.602295584784876
9041501,Altstadt Kietz,10.38,14.98,37.23,mittel,0,0
9041601,Müggelheim,3.98,2.42,4.65,hoch,52.4121651,13.6619543
9051701,Hirschgarten,5.43,3.66,7.12,mittel,52.4579033,13.6031386
