Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbezieher unter 15,Gesamtindex,Latitude,Longitude
6100208,Bergstraße,3.11493,6.3306,9.97475,mittel,52.5719786,13.5772602
6100209,Feuerbachstraße,3.59431,6.57458,13.23268,mittel,52.463673,13.3326994
6100210,Bismarckstraße,3.87097,7.66228,14.91086,mittel,52.5115148,13.3052393
6200311,Alt-Lankwitz,3.05556,7.61596,14.21488,mittel,52.4387617,13.3550521
6200312,Komponistenviertel Lankwitz,2.49794,4.52682,9.93289,mittel,52.4375558,13.334377
6200313,Lankwitz Kirche,5.54106,10.09447,24.33333,mittel,52.4358148,13.3468002
6200314,Kaiser-Wilhelm-Straße,4.70271,9.72241,22.45989,mittel,52.4435414,13.353869
6200315,Gallwitzallee,4.9217,8.61154,15.33742,mittel,52.4322595,13.3463359
6200316,Belßstraße,6.08622,11.87478,31.98324,mittel,52.4253237,13.3721883
6200317,Lankwitz Süd,2.25681,4.85786,11.2232,mittel,52.42317665,13.362284993251034
6200418,Landweg,0,0,0,,52.4105865,13.3190389
6200419,Thermometersiedlung,7.18076,14.51682,35.79278,mittel,52.41431735,13.314622949983283
6200420,Lichterfelde Süd,4.47164,8.92984,20.92772,mittel,52.4099669,13.3085527
6200421,Königsberger Straße,3.38115,6.4918,16.79688,mittel,52.5138985,13.4416162
6200422,Oberhofer Platz,2.35682,3.97904,10.5673,mittel,52.424791150000004,13.328173774065391
6200423,Schütte-Lanz-Straße,3.01084,7.09401,19.78477,mittel,52.412198,13.3284229
6300524,Berlepschstraße,2.43828,4.14462,10.02907,mittel,52.4209438,13.226431
6300525,Zehlendorf Süd,4.11534,8.67165,19.54023,mittel,52.4255052,13.240168053968436
6300526,Zehlendorf Mitte,2.30947,5.01359,9.78723,mittel,52.4349053,13.2599256
6300527,Sundgauer Straße,2.49476,5.19976,9.684,mittel,52.4364399,13.2742012
6300528,Teltower Damm,2.29885,2.25339,4.57064,hoch,52.4318993,13.2589192
6300629,Botanischer Garten,3.23702,4.54289,8.55346,mittel,52.45439665,13.304122526030515
6300630,Hindenburgdamm,4.83696,8.76693,21.73913,mittel,52.4497154,13.3155069
6300631,Goerzwerke,1.86788,3.96574,8.99183,hoch,0,0
6300632,Schweizer Viertel,2.34884,2.95337,4.23768,hoch,52.4240284,13.2964923
6300633,Augustaplatz,3.34966,4.82318,11.65414,mittel,52.44280725,13.307452030569994
6300634,Lichterfelde West,1.54743,2.89038,5.28053,hoch,52.4433056,13.2935862
6400735,Wannsee,1.39421,2.26151,3.98323,hoch,52.4211482,13.1589374
6400736,Düppel,1.50968,4.33703,6.46388,hoch,52.4254973,13.233305907223176
6400737,Nikolassee,1.46976,2.89616,3.97805,hoch,52.4262495,13.1981446
6400838,Krumme Lanke,0.95808,1.53109,1.78197,hoch,52.4434481,13.2413921
6400839,Fischerhüttenstraße,1.49701,3.31565,5.47753,hoch,52.442578,13.2404467
6400840,Fischtal,1.43698,2.75255,4.16667,hoch,52.4484762,13.2595279
6400841,Zehlendorf Eiche,2.27964,3.96106,7.64075,mittel,52.4344102,13.2600391
6400842,Hüttenweg,0.7838,2.09979,3.75134,hoch,52.4556436,13.266551
6400843,Thielallee,0.70258,1.40759,0.91185,hoch,52.4531998,13.286119
6400844,Dahlem,1.09576,2.01277,4.39673,hoch,52.4573805,13.2810976
7100101,Wittenbergplatz,4.74607,11.04201,21.19565,mittel,52.5017976,13.3430005
7100102,Kalckreuthstraße,6.65911,16.87608,39.3586,mittel,52.4992767,13.3481218
7100103,Frobenstraße,7.58412,21.90093,45.05051,niedrig,52.50045,13.3602501
7100204,Barbarossaplatz,3.23443,8.19641,15.58966,mittel,52.4920953,13.349199950324744
7100205,Alvenslebenstraße,9.57762,23.79684,45.16129,sehr niedrig,52.4953593,13.3652821
7100206,Großgörschenstraße,5.26064,14.8486,24.33759,mittel,52.4914923,13.3648217
7200307,Bayerischer Platz,3.62491,7.55341,13.59307,mittel,52.4885755,13.3405436
7200308,Volkspark (Rudolph-Wilde-Park),5.73172,12.57023,28.75912,mittel,0,0
7200409,Belziger Straße,3.10657,9.33404,12.32014,mittel,52.4846828,13.3454391
7200410,Feurigstraße,7.99104,19.3531,43.52201,niedrig,52.4860448,13.359987
7200411,Julius-Leber-Brücke,4.31925,11.77315,15.80645,mittel,52.4865053,13.3611679
7200412,Schöneberger Linse,3.26577,12.88848,33.33333,mittel,0,0
7200413,Cheruskerstraße,3.40946,8.86381,14.00209,mittel,52.4814646,13.3590333
7200414,Hohenfriedbergstraße,3.45188,9.71627,13.70143,mittel,52.4861012,13.3648058
7300515,Taunusstraße,1.92518,4.6793,7.59346,mittel,52.473513,13.3241452
7300516,Odenwaldstraße,2.04082,4.85349,7.6225,mittel,52.4670516,13.3215142
7300517,Perelsplatz,2.0451,4.90476,6.91164,mittel,52.47578865,13.33434641514959
7300618,Ceciliengärten,2.51209,5.73044,10.26518,mittel,52.47420665,13.341860455373258
7300619,Grazer Platz,4.58768,12.69712,26.39769,mittel,52.467315799999994,13.34681556130397
7400720,Gontermannstraße,5.66502,11.84582,27.8481,mittel,52.4773677,13.3713928
7400721,Paradestraße,2.58572,8.65666,14.21053,mittel,52.4780189,13.3862561
7400822,Lindenhofsiedlung,4.82809,11.04213,21.48148,mittel,0,0
7400823,Wittekindstraße,5.21081,13.78153,34.38767,mittel,52.4564932,13.3723462
7400824,Bosepark,4.59194,11.06901,22.86528,mittel,52.464186299999994,13.381334932727661
7400825,Friedrich-Karl-Straße,4.99072,12.14674,28.98089,mittel,52.5647585,13.3304018
7400826,Marienhöhe,3.48618,10.42237,22.2028,mittel,52.4519197,13.3661522
7400927,Rathaus Tempelhof,6.30108,14.44524,36.20237,mittel,52.46262245,13.386260460798024
7400928,Germaniagarten,9.31864,23.51759,58.23009,sehr niedrig,52.4627272,13.4146758
7501029,Ringstraße,6.18781,14.21725,35.90952,mittel,52.4396932,13.299979
7501030,Machonstraße,6.14127,14.45444,35.38851,mittel,52.4466311,13.3822838
7501031,Eisenacher Straße,4.88611,11.31744,26.63317,mittel,52.4895529,13.3501694
7501032,Imbrosweg,5.39283,12.87812,28.51064,mittel,52.4434428,13.3988189
7501133,Fritz-Werner-Straße,6.58589,12.52917,30.03229,mittel,52.4283231,13.3816013
7501134,Hundsteinweg,4.1564,8.62623,23.65115,mittel,52.4341297,13.3911421
7501135,Birnhornweg,2.27774,4.1648,10.48387,mittel,52.4230714,13.3890164
7601236,Marienfelder Allee Nordwest,8.62315,19.73904,48.47188,niedrig,0,0
7601237,Kirchstraße,2.13425,4.68354,10.69079,mittel,52.4179438,13.3712216
7601238,Marienfelde Nordost,5.35602,12.4085,37.29604,mittel,0,0
7601339,Tirschenreuther Ring West,8.0481,17.75961,41.01655,niedrig,0,0
