Nummer,Straße,Anteil Arbeitslose,Anteil Transferbezieher,Anteil Transferbeizieher unter 15,Gesamtindex,Longitude,Latitude
12301203,Wittenau Süd,7.23,11.29,26.28,mittel,13.3331269,52.5779013
12301204,Wittenau Nord,3.64,6.19,14.29,mittel,0,0
12301205,Waidmannslust,4.32,5.1,9.46,mittel,13.3225327,52.6080354
12301206,Lübars,3.16,3.14,4.81,hoch,13.3530197,52.6146467
12302107,Schorfheidestraße,5.18,7.05,19.5,mittel,13.5751289,52.5727088
12302108,Märkisches Zentrum,12.17,27.45,65.42,sehr niedrig,13.354515578995304,52.5975836
12302109,Treuenbrietzener Straße,13.36,34.66,67.71,sehr niedrig,13.3619042,52.6002046
12302110,Dannenwalder Weg,12.84,31.0,61.69,sehr niedrig,13.3604753,52.5967531
12302211,Lübarser Straße,6.65,7.07,14.61,mittel,13.3340499,52.6012352
12302212,Rollbergesiedlung,11.74,30.65,64.33,sehr niedrig,13.334088541902368,52.60835185
12304313,Borsigwalde,7.45,11.35,29.18,mittel,13.3022741,52.5840624
12304314,Ziekowstraße/Freie Scholle,5.78,7.49,18.2,mittel,0,0
